timestamp,mod,sF,id,fromType
1440510048225,B,1,14,IF
1440510188530,B,2,14,IF
1440510082045,B,1,18,Swap
1440510185547,B,2,18,Swap
1440509888938,BM,1,1,LED
1440510190079,BM,2,1,LED
1440509890791,BM,1,3,BTN
1440510183630,BM,2,3,BTN
1440509902806,BM,1,5,RGB
1440510180846,BM,2,5,RGB
1440509904965,BM,1,7,ACR
1440510153398,BM,2,7,ACR
1440509979415,BM,1,9,POT
1440510187046,BM,2,9,POT
1440510062875,L,1,00-14IF-3,BTN
1440510183019,L,2,00-14IF-3,BTN
1440510065515,L,1,00-14IF-5,RGB
1440510180230,L,2,00-14IF-5,RGB
1440510161175,L,1,00-18Swap-1,LED
1440510184932,L,2,00-18Swap-1,LED
1440510099550,L,1,00-18Swap-3,BTN
1440510183020,L,2,00-18Swap-3,BTN
1440510161175,L,1,00-1LED-18,Swap
1440510184932,L,2,00-1LED-18,Swap
1440510062875,L,1,00-3BTN-14,IF
1440510183019,L,2,00-3BTN-14,IF
1440510099550,L,1,00-3BTN-18,Swap
1440510183020,L,2,00-3BTN-18,Swap
1440510065515,L,1,00-5RGB-14,IF
1440510180230,L,2,00-5RGB-14,IF
1440509995738,L,1,00-5RGB-7,ACR
1440510010455,L,2,00-5RGB-7,ACR
1440509995738,L,1,00-7ACR-5,RGB
1440510010455,L,2,00-7ACR-5,RGB
1440510068556,L,1,01-5RGB-9,POT
1440510180231,L,2,01-5RGB-9,POT
1440510068556,L,1,01-9POT-5,RGB
1440510180231,L,2,01-9POT-5,RGB
1440510101461,L,1,02-18Swap-5,RGB
1440510180231,L,2,02-18Swap-5,RGB
1440510101461,L,1,02-5RGB-18,Swap
1440510180231,L,2,02-5RGB-18,Swap
1440509997418,L,1,11-5RGB-7,ACR
1440510012759,L,2,11-5RGB-7,ACR
1440509997418,L,1,11-7ACR-5,RGB
1440510012759,L,2,11-7ACR-5,RGB
1440509998969,L,1,22-5RGB-7,ACR
1440510020700,L,2,22-5RGB-7,ACR
1440509998969,L,1,22-7ACR-5,RGB
1440510020700,L,2,22-7ACR-5,RGB
1440509877010,M,1,10,POT
1440510197772,M,2,10,POT
1440509876993,M,1,6,BTN
1440510197739,M,2,6,BTN
1440509876998,M,1,7,LED
1440510197755,M,2,7,LED
1440509877009,M,1,8,RGB
1440510197758,M,2,8,RGB
1440509877010,M,1,9,ACR
1440510197757,M,2,9,ACR
